"term","df","sumsq","meansq","statistic","p.value"
"Nombre_Genero_Victima_Texto",2,10.6856581448927,5.34282907244636,0.203881156448809,0.815595077982965
"Residuals",947,24816.7080260656,26.2056050961622,NA,NA
